,product,review_title,review_rating,review_text
0,"Amazon Essentials Men's Lightweight Water-Resistant Packable Puffer Jacket, Camel, Medium",Perfect base layer,5.0,Exactly what I was looking for. I was looking for a water resistant light weight and warm base layer. This one fits great. 2 deep internal pockets. Zippers on external pockets. Well constructed. No issues so far. I plan to scotch guard it just to ensure its water resistant.Ordered Size Large.5ft 6200lbs
1,"Amazon Essentials Men's Lightweight Water-Resistant Packable Puffer Jacket, Camel, Medium",Nice fit but still have to try out,4.0,"For the price I had to try.  I have an REI version of this jacket.  This version is a little bit more tough and rough it seems.  I was able to pack it in the bag it came along with.  I'm 150lb 5'6 and got a Small.  As you can see in the pictures it fits fine, the chest portion is a little snug as I wear a 38 jacket.  The waist portion has a lot of room left.  Two pockets on the outside and two on the inside.  I still have to try out during a colder night, but I think it'll get the job done!"
2,"Amazon Essentials Men's Lightweight Water-Resistant Packable Puffer Jacket, Camel, Medium",Versatile light-mid weight jacket - perfect for multi-uses,5.0,"It's impossible to find anything I don't like about this jacket.  I'm completely surprised - especially because of the low cost.  I was not expecting this level of quality, look and feel.  I wanted a light weight jacket that could be layer under and especially for travel where space and weight is a concern and I didn't want to pay a lot of money for it.  I looked at a LOT of jackets and they were either too warm, too bulky or too cheaply made based on reviews.  And then I found this incredible jacket.It exceeded my expectations in all categories.  I would say the temp range is from 20-45 degrees with fairly minimal layering/under garments, but that will depend on just what you wear underneath.  It definitely does a nice job of breaking the wind, so with fleece underneath, it could be toasty at 15 degrees.  It's extremely comfortable - it barely feels like you are wearing a jacket at all.  I'm 6'1"" with a 42"" chest, 180 lbs, and a large fits perfectly with sufficient space for movement and a layer or two.  The length is perfect at just below the waist and the sleeve length perfect - I wear a 36"" sleeve.  As others have mentioned the collar does not turn down, but it is a pretty minimal collar and with this soft material, I find I really like the collar the way it is.  The material is soft and pliable and never feels stiff and uncomfortable.  I bought the Heather Green and it's really a nice color that has a great casual look and it's not that shiny look - it's kinda matte type finish.  I've gotten a lot of complements on it.  And when I tell people what I paid they are blown away.The jacket has two large lined and very deep exterior side pockets that zip and one large interior vest pocket that does not zip or close which is fine by me.  Velcro would have been annoying.  And finally, it comes with a separate bag with a draw string that secures the jacket when rolled up.  And the bag can attach to the inside coat hanger loop if you desire, which is how it came and the way I use it.  The water resistant feature is nice for drizzle and mist, but I'll wear it underneath a waterproof windbreaker in rainy conditions.  This will become my go to travel jacket.This is indeed a home run for Amazon Basics and I highly recommend this jacket."
3,"Amazon Essentials Men's Lightweight Water-Resistant Packable Puffer Jacket, Camel, Medium",Solid jacket. On par with name brands for significantly less.,5.0,"Live in Georgia, so don’t need a blizzard proof jacket. Tested this jacket in the low 40’s in windy and rainy weather with just a long sleeve running shirt underneath. Toasty warm. Compares very favorably with a TNF Thermoball jacket I have, and I actually think this Amazon jacket is warmer. Seems to be solid construction. Can’t go wrong for $39."
4,"Amazon Essentials Men's Lightweight Water-Resistant Packable Puffer Jacket, Camel, Medium",This Jacket is perfect,5.0,"I bought this jacket for my son last minute for a trip out of state.  I needed something fast as it was going to be very cold and all he had was a windbreaker/shell and sweatshirts.  Jacket came quickly and was perfect.  I ordered a large, he is 6'3, thin build and it fit him in the sleeves and body.  The length was great too.  The length was most likely such a good fit for his height due to him being very slender.  So if you are shorter but thicker the large would probably fit.  He wore the jacket the whole time over a sweatshirt and it kept him warm.  It is a basic no frills very plain jacket.  Just what he likes, no labels, bells or whistles.  At this price point you can not go wrong.  I ordered the black and it looked much like my Patagonia jacket.  Amazon basics does it again for me!"
5,"Amazon Essentials Men's Lightweight Water-Resistant Packable Puffer Jacket, Camel, Medium",it actually fits,5.0,"I stand 6'2"" weigh 200 pounds.  with 35 inch arms I have to wear xxl for the sleeves.  this fits perfectly, you will probably not wear this in Chicago on state street in February but if you live in san Francisco you will probably wear it year round.  as with amazon basic it's well made."
6,"Amazon Essentials Men's Lightweight Water-Resistant Packable Puffer Jacket, Camel, Medium","Loving It So Far, We'll See In A Month Or So",5.0,"I ordered this jacket more than a year ago, & so far it's been the best $40 I've ever spent on any single article of clothing. My friends have all been blown away by the light weight, & here in the San Francisco Bay Area it's all the jacket I need. The medium size fits me perfectly ( 5'10"", 180 pounds) & layers perfectly over a hoody if I need extra warmth. My only complaint, & it's a very tiny one, is that I wish one of the inside pockets were a little smaller. But, sized as they are, I can fit my pocket umbrella into one & my beanie cap into the other. When packed into its stuff sack it fits nicely into my backpack & I can leave it there for long periods, pull it back out, & it's ready to wear. I wear it all the time, there's been no sign of defects, & I love this jacket so much I'm likely going to order another in a different color. If your area's winters are really cold you'll likely want a heavier jacket, but if you live on the California coast you probably don't need anything heavier than this. Highly recommended, especially at this price!!!"
7,"Amazon Essentials Men's Lightweight Water-Resistant Packable Puffer Jacket, Camel, Medium",Reliable Casual Jacket,4.0,"It's lightweight, seems well constructed and is reliable. I've worn it in temperatures as low as 13 degrees fahrenheit and it kept me warm. It's not one of those high-end down puffer jackets, but if you're looking for a lightweight jacket for being out and about in cold weather, this is solid. I've also heard of people stowing this jacket in its pack in their cars for emergencies, which is a great idea too."
8,"Amazon Essentials Men's Lightweight Water-Resistant Packable Puffer Jacket, Camel, Medium",Good jacket for the money,4.0,"Looks good and is breathable, but will still keep you warm. They must have fitted this for a square person with a big belly though. The bottom flares out for anyone with a beer belly lol. On a lighter note, it is still a good product and my favorite thing about this jacket is how comfortable it is. 4 stars. Btw I am 6’3 at 205 and athletic and I bought the XL. A large would probably fit my body better overall but probably be too short and ride up at my waistUpdate:I ordered the large to see if it fit better and it was in fact too small in the shoulders and only went down to my belt buckle. Dang, right in between sizes. Oh well, I’m returning the large and keeping the XL. There is such a difference between the two sizes that I think my XL may just have been improperly measured when made and that’s why the belly sticks out; or maybe they just figured anyone bigger than a size large probably has a beer belly and accommodated lol. Still 4 stars for the price and comfort. I think the only reason I’m making a big deal about it is because my girlfriend gave me a hard time about my apparent beer belly and I’m hung up on it. Anyhoo, plenty of room to grow so pass me a Guinness ;)"
9,"Amazon Essentials Men's Lightweight Water-Resistant Packable Puffer Jacket, Camel, Medium",Size matters!,5.0,"First off, let me say that my whole family wears either Patagonia, North Face, or Columbia. Good stuff!....but I just can’t bring myself to spend $150+ dollars on a sweater or light jacket. If I was exploring Alaska or Northern Europe, then I would feel differently, but I’m not so I try and keep the expenses under control.I purchased this jacket on a whim and I’m quite happy with it. It’s light but surprisingly warm and with my rain jacket over it, I’ve never had even a chill. It comes with a little bag so it must scrunch up quite small although I’ve yet to attempt it. And a word about sizing. I usually buy a large, but after reading a number of reviews here, I decided to take their advice and go one size down. To all of you who suggested that, a big thank you. It fits perfect!"
